Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
Travel Agents,HEAVENLY VACATIONS{PVT}LTD,"BARBERYN REEF HOTEL LTD, MORAGALLA, BERUWALA",,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat
Travel Agents,PARADISE VOYAGES{PVT}LTD,"91/1OLD QUARRY ROAD,MAUT LAVINIA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,SHUMS HOLIDAYS{PVT}LTD,"33A QUEENS ROAD,COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SERENE VACATIONS LANKA ( PVT ) LTD,"NO 46/1/8 MARINE CITY BUSINESS COMPLEX.STATION ROAD,DEHIWALA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,OLANKA TRAVELS (PVT) LTD,"87,DUTUGEMUNU ST.,KOLUBOWILA,DEHIWALA.",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,NATURE LANKA TRAVELS & TOURS,"NO: 163/5/97/M,AWISSAWELLA ROAD,WELLAMPITIYA",,Colombo,Kuliyapitiya,Kolonnawa Divisional Secretariat
Travel Agents,TOUR BLUE HOLDINGS PVT LTD,"NO.20/16,FIFE ROAD,COLOMBO 05.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,BLUESKY HOLIDAY TRAVEL{PVT}LTD,"NO.102/5,KITHULWATTA ROAD,BORELLA,COLOMBO 08",,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
Travel Agents,SAPPHIRE TRAVELS AND TOURISM,"NO:59-3/2, 3/1, CITY CENTER,SEA STREET,COLOMBO 11",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SURYA LANKA AYURVEDA HOLIDAYS,"75/1BARES PLACE,COLOMO 7",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SAGAMI HOLYDAYS,"NO 126 C 1/1B, KEELS SUPER GROUND FLOOR ,HIGHLEVEL ROAD, NUGEGODA",,Colombo,Kotte Muncipal Council,Nugegoda Divisional Secretariat
Travel Agents,SAFRAN TRAVELS ( PVT ) LTD,"F 43,PEOPLES PARK COMPIEX COLOMBO 11",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,COOL SRI LANKA TOURS & TRAVELS,"NO:1054/2 KUMARAGEWATTA,PANNIPITIYA ROAD,BATTARAMULLA",,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
Travel Agents,SUMMER INFINITIY (PVT)LTD,"NO: 411/27 A, ARTIGALA MAWATHA,SRI JAYAWARDENAPUARA ROAD,RAJAGIRIYA",,Colombo,Sri Jayawardenapura-Kotte,Battaramulla
Travel Agents,AMJL TOURS,"282/3 DEVALA ROAD,KALUWAMODARA ALUTHGAMA",,Colombo,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat
Travel Agents,BIN BAZ HOLIDAYS (PVT)LTD,"LEVEL 26 & 34 ,EAST TOWER, WORLD TRADE CENTER ,COLOMBO 1",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SINO ASIA HOLIDAYS {PVT}LTD,"NO 40,VISAKA ROAD,COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SENLANKA DESTINATIONS {PVT}LTD,"NO 1F AVISSAWELLA ROAD,WELLAMPITIYA",,Colombo,Kolonna Pradeshiya Sabha,Kolonnawa Divisional Secretariat
Travel Agents,WINGS FOR WORLD,"NEGOMBO PLAZA , NO: 393/17 , MAIN STREET , NEGOMBO",,Gampaha,Negombo,Negombo Divisional Secretariat
Travel Agents,WIJAYA GEMS AND TOURS,"4TH FLOOR,NO.730,COLOMBO 03.",,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
